wl,n
1.3053,0.261785
1.3088,0.262423
1.3122,0.264107
1.3156,0.264047
1.3190,0.266175
1.3224,0.266810
1.3258,0.267838
1.3293,0.269647
1.3327,0.270136
1.3361,0.271668
1.3395,0.272512
1.3430,0.273408
1.3464,0.275240
1.3498,0.275644
1.3532,0.276573
1.3566,0.278739
1.3601,0.279230
1.3635,0.280259
1.3669,0.281717
1.3703,0.281847
1.3738,0.284020
1.3772,0.285260
1.3806,0.286346
1.3840,0.287891
1.3875,0.287344
1.3909,0.290315
1.3943,0.291317
1.3977,0.292767
1.4012,0.292972
1.4046,0.294873
1.4080,0.295149
1.4115,0.296989
1.4149,0.298409
1.4183,0.298652
1.4218,0.300160
1.4252,0.302189
1.4286,0.302651
1.4321,0.304075
1.4355,0.306095
1.4389,0.306594
1.4424,0.307303
1.4458,0.310091
1.4492,0.310090
